,username,comment,rating
167,w*****i,Agak kebesaran sih dikit. Tp spatunya bagus kok. Syg d kotak nya bolong:”) qq mimin nya cueqq g bs d ajak konsul ukuran spatu. Nanya uk spatu yg pas cuma d ksh list uk ajaaahhh tp gpp bagus kokkk spatunyaaa cixixixixiixx,4
168,a*****9,"Overall ok  lah 
Cuma boxnya aja yg penyok 
100% ORI 
Semoga ada rejeki lagi buat beli di toko ini 😅",4
169,mustikard2381,barang sampai dengan aman tanpa cacat sedikitpun! terima kasih🤝🏻,5
170,a*****s,"Tampilan:barang bagus sesuai dengan di gambar tapi sayang ga dapet yg made' in Indonesian malah yg Vietnam
Warna:hitam putih

Respon chat admin kurang",4
171,k*****0,,5
172,henmaheen,Barang sangat sesuai dan memuaskan! Thanks Converse Store Official,5
173,okykadnan11,Original 👍🏻,5
174,u*****3,Sukaaaaan sekali,5
175,j*****l,Mantab,5
176,gudangnyajeans77,Hadeh gapapa deh ga bisa di retur ukuran kecil banget dipake susahh,4
177,alfinarh_,beli uk 3.5 ternyata ngepas banget :(( barangkali disini ada yang mau tukeran sama size 4/4.5 bisa chat yaa,5
178,fauziah66666,"Warna:hitam
Tampilan:sangat baik

Cakep parahh
Keren banget
Original ❤️‍🔥
Keren 🥰",5
179,n*****o,"kmrn dpt potongan harga dari voucher + koin, jdi nya cuman 700an gitu. ga nyampe 750 sih. dan jelas nya original dari persis kok sama dis store ga ada beda nya",5
180,a*****3,"Tampilan:ok

Bagusss pengiriman cepat..",5
181,a*****_,"Tampilan:I Like This

good quality product..",5
182,v*****y,"Tampilan:ghkll
Warna:akajshhajg

Nyesel banget beli disini ga bisa dituker padahal seblm nya udh nanya size 38 ukurannya US brpa tapi gada tanggung jawabnya parah pas dateng size 41",2
183,adeirmasyatiri,,5
184,g*****i,Pas di kaki 👌🏻 Bismillah semoga awet 🤲🏻,5
185,monicalstari,"Bagus banget, sesuai ekspektasi. thank you✨",5
186,n*****i,,5
187,mia1133,"Barang original and pengiriman cepet
Thebesttttt",5
188,p*****o,"Muaantaappp pokoknyaaaa, adminnya jg oke buat diajak diskusi soal ukuran. Jadi ukuran yg dateng perfect fits.",5
